GeneID_NCBI	Symbol_HGNC	Aliases	mean_cov_BGI	median_cov_BGI	perc_cov_BGI_10x	perc_cov_BGI_20x	mean_cov_TWIST	median_cov_TWIST	perc_cov_TWIST_10x	perc_cov_TWIST_20x	GenePanels_Symbol	GenePanel	GenePanelCount
2	A2M	A2MD|CPAMD5|FWP007|S863-7	125,4	128,1	99,9	99,6	142,8	146,8	100	100	A2M	"HEMOS (AD);OMIM (AD)"	2
144568	A2ML1	CPAMD9|OMS|p170	118,8	123,4	100	99,6	128,4	132,4	100	100	A2ML1	"OMIM (AD);TUMOR (AD)"	2
53947	A4GALT	A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK	188,8	187,1	100	100	135,5	138,1	100	100	A4GALT	OMIM (UK,AR,AD,XL)	1
8086	AAAS	AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003	114,8	117,1	100	99,9	120,5	122,8	100	100	AAAS	"DERM (AR);DSD (AR);HMSN (AR);MR (AR);OMIM (AR);PCS (AR)"	6
79719	AAGAB	KPPP1|PPKP1|PPKP1A|p34	148,8	152,4	100	99,2	129,5	132,3	100	100	AAGAB	"DERM (AD);OMIM (AD)"	2
16	AARS1	AARS|CMT2N|DEE29|EIEE29	119,8	124,9	100	99,9	135,8	140,1	100	100	AARS1	"EPI (AD,AR);HMSN (AD);MR (AR);OMIM (AD,AR);PCS (AR)"	5
57505	AARS2	AARSL|COXPD8|LKENP|MT-ALARS|MTALARS	129	131,5	100	99,4	144,7	148,5	100	100	AARS2	"BEWEGING (AR);DSD (AR);HART (AR);OMIM (AR);OXPHOS (AR);PCS (AR)"	6
10157	AASS	LKR/SDH|LKRSDH|LORSDH	161,7	168	100	99,7	138,5	142,5	100	100	AASS	"METAB (AR);MR (AR);OMIM (AR);PCS (AR)"	4
18	ABAT	GABA-AT|GABAT|NPD009	102,4	105,5	100	99,4	132,2	135,1	100	100	ABAT	"EPI (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)"	6
19	ABCA1	ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD	111,1	115,8	99,9	99,1	144,9	148,6	100	100	ABCA1	"HMSN (AR);OMIM (AR);PCS (AR)"	3
26154	ABCA12	ARCI4A|ARCI4B|ICR2B|LI2	157,5	163,9	99,5	98,7	133,2	137,5	100	100	ABCA12	"DERM (AR);OMIM (AR)"	2
20	ABCA2	ABC2|IDPOGSA	128,3	130,2	99,7	98,9	138,6	142,2	100	100	ABCA2	"MR (AR);OMIM (AR)"	2
21	ABCA3	ABC-C|ABC3|EST111653|LBM180|SMDP3	118,1	123,4	99,9	99,3	138,8	143,8	100	100	ABCA3	"OMIM (AR);PCS (AR)"	2
24	ABCA4	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	120,5	125,3	99,9	99,3	137,9	142,3	96,5	96,5	ABCA4	"BLIND (AR);OMIM (AR);PCS (AR)"	3
