GeneID_NCBI;Symbol_HGNC;Aliases;GenePanels_Symbol;GenePanel;Column1;;Symbol_HGNC;GenePanels_Symbol;
2;A2M;A2MD|CPAMD5|FWP007|S863-7;A2M;"HEMOS (AD);OMIM (AD)";;;A2M;A2M;
144568;A2ML1;CPAMD9|OMS|p170;A2ML1;"OMIM (AD);TUMOR (AD)";;;A2ML1;A2ML1;
53947;A4GALT;A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK;A4GALT;OMIM (UK,AR,AD,XL);;;A4GALT;A4GALT;
8086;AAAS;AAA|AAASb|ADRACALA|ADRACALIN|ALADIN|GL003;AAAS;"DERM (AR);DSD (AR);HMSN (AR);MR (AR);OMIM (AR);PCS (AR)";;;AAAS;AAAS;
79719;AAGAB;KPPP1|PPKP1|PPKP1A|p34;AAGAB;"DERM (AD);OMIM (AD)";;;AAGAB;AAGAB;
16;AARS1;AARS|CMT2N|DEE29|EIEE29;AARS1;"EPI (AD,AR);HMSN (AD);MR (AR);OMIM (AD,AR);PCS (AR)";;;AARS1;AARS1;
57505;AARS2;AARSL|COXPD8|LKENP|MT-ALARS|MTALARS;AARS2;"BEWEGING (AR);DSD (AR);HART (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;AARS2;AARS2;
10157;AASS;LKR/SDH|LKRSDH|LORSDH;AASS;"METAB (AR);MR (AR);OMIM (AR);PCS (AR)";;;AASS;AASS;
18;ABAT;GABA-AT|GABAT|NPD009;ABAT;"EPI (AR);METAB (AR);MR (AR);OMIM (AR);OXPHOS (AR);PCS (AR)";;;ABAT;ABAT;
19;ABCA1;ABC-1|ABC1|CERP|HDLCQTL13|HDLDT1|HPALP1|TGD;ABCA1;"HMSN (AR);OMIM (AR);PCS (AR)";;;ABCA1;ABCA1;
26154;ABCA12;ARCI4A|ARCI4B|ICR2B|LI2;ABCA12;"DERM (AR);OMIM (AR)";;;ABCA12;ABCA12;
20;ABCA2;ABC2|IDPOGSA;ABCA2;"MR (AR);OMIM (AR)";;;ABCA2;ABCA2;
21;ABCA3;ABC-C|ABC3|EST111653|LBM180|SMDP3;ABCA3;"OMIM (AR);PCS (AR)";;;ABCA3;ABCA3;
24;ABCA4;ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1;ABCA4;"BLIND (AR);OMIM (AR);PCS (AR)";;;ABCA4;ABCA4;
23461;ABCA5;ABC13|EST90625|HTC3;ABCA5;OMIM (AR);;;ABCA5;ABCA5;
23456;ABCB10;EST20237|M-ABC2|MTABC2;ABCB10;"IJZER (AD,AR);OMIM (AD,AR)";;;ABCB10;ABCB10;
8647;ABCB11;ABC16|BRIC2|BSEP|PFIC-2|PFIC2|PGY4|SPGP;ABCB11;"LEVER (AR);OMIM (AR);PCS (AR)";;;ABCB11;ABCB11;
5244;ABCB4;ABC21|GBD1|ICP3|MDR2|MDR2/3|MDR3|PFIC-3|PGY3;ABCB4;"LEVER (AR);OMIM (AR;AD,AR);PCS (AR)";;;ABCB4;ABCB4;
10058;ABCB6;ABC|LAN|MTABC3|PRP|umat;ABCB6;"DERM (AD);OMIM (AD)";;;ABCB6;ABCB6;
22;ABCB7;ABC7|ASAT|Atm1p|EST140535;ABCB7;"BEWEGING (XL);BMF (XL);IJZER (XL);OMIM (XL;XLR)";;;ABCB7;ABCB7;
4363;ABCC1;ABC29|ABCC|DFNA77|GS-X|MRP|MRP1;ABCC1;"DOOF (AD);OMIM (AD)";;;ABCC1;ABCC1;
1244;ABCC2;ABC30|CMOAT|DJS|MRP2|cMRP;ABCC2;"LEVER (AR);OMIM (AR);PCS (AR)";;;ABCC2;ABCC2;
368;ABCC6;ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7;ABCC6;"ANEURYSM (AD);BLIND (AD,AR);DERM (AD,AR);HART (AD,AR);OMIM (AD,AR);PCS (AR)";;;ABCC6;ABCC6;
6833;ABCC8;ABC36|HHF1|HI|HRINS|MRP8|PHHI|PNDM3|SUR|SUR1|SUR1delta2|TNDM2;ABCC8;"EPI (AD);METAB (AD,AR);MR (AD);OMIM (AD;AD,AR);PCS (AR)";;;ABCC8;ABCC8;
10060;ABCC9;ABC37|ATFB12|CANTU|CMD1O|SUR2;ABCC9;"DERM (AD);HART (AD);LENGTE (AD);MR (AD);OMIM (AD)";;;ABCC9;ABCC9;
